Name,AVERAGE SIX-YEAR GRADUATION RATE,AVERAGE FIRST-YEAR STUDENT RETENTION RATE,PELL GRANT GRADUATION RATES,PELL GRANT GRADUATION RATE PERFORMANCE,GRADUATION RATE PERFORMANCE,PEER ASSESSMENT SURVEY,CLASS SIZE INDEX,FACULTY COMPENSATION,PERCENT FACULTY WITH TERMINAL DEGREE IN THEIR FIELD,PERCENT FACULTY THAT IS FULL TIME,STUDENT-FACULTY RATIO,MATH AND EVIDENCE-BASED READING AND WRITING,HIGH SCHOOL CLASS STANDING IN TOP 10%,FINANCIAL RESOURCES PER STUDENT,AVERAGE ALUMNI GIVING RATE,GRADUATE INDEBTEDNESS TOTAL,GRADUATE INDEBTEDNESS PROPORTION WITH DEBT,DIVERSITY SCORE,TUITION AND FEES
University of Houston,59.0,85.25,50.257328261356,83.28519588239647,39.712457263084076,37.5,12.708600770218224,43.98056742974793,69.05829596412558,75.11380880121396,29.5774647887324,47.28682170542635,32.323232323232325,4.548605699037609,13.562753036437245,71.61692592472315,55.68181818181817,76.1906655608308,
University of Idaho,57.25,79.25,42.604609532333846,66.11864030215506,37.43315508021391,31.25,77.47111681643132,26.34066847129266,66.59192825112108,92.56449165402125,54.225352112676056,30.23255813953486,17.171717171717173,8.161675019518725,14.574898785425098,58.373656350469254,42.04545454545454,12.970095742880133,
University of Illinois--Chicago,60.0,80.25,56.030431863951655,89.05371455915778,63.666633034002615,43.75,22.65725288831837,44.63597084324504,71.74887892376684,84.67374810318665,47.183098591549296,35.65891472868216,31.313131313131315,18.711445515558417,1.6194331983805665,72.31188906569675,45.454545454545446,70.72140735268468,
University of Illinois--Urbana-Champaign,85.0,92.75,80.86820317744457,69.81478863282905,46.01571268237936,71.875,34.91655969191271,44.79031874950844,87.66816143497759,99.99999999999997,40.14084507042253,66.66666666666666,51.515151515151516,14.39182396711914,9.716599190283398,66.07995323612508,55.68181818181817,52.21051134326629,
University of Indianapolis,59.25,74.25,32.53524278362048,30.24425944561341,44.50285507115021,21.875,69.6405648267009,16.283555993675,36.99551569506728,69.34749620637328,64.7887323943662,24.031007751937977,14.141414141414142,4.022113911281843,19.4331983805668,50.34910531614327,23.86363636363636,27.83165036146241,52.273123149277126
University of Iowa,72.75,86.5,55.33676437681806,57.58354933471574,35.52853270822649,59.375,56.803594351733,38.76119685144491,76.45739910313902,93.93019726858876,54.225352112676056,46.51162790697674,33.333333333333336,11.686282449002313,10.931174089068824,59.854512389179355,49.99999999999999,15.09026007965251,
University of Kansas,64.5,84.75,29.178787200716037,23.26868539017474,21.76696542893727,53.125,70.34659820282414,30.301394132577556,91.47982062780271,93.47496206373293,51.760563380281695,44.18604651162789,30.303030303030305,11.758546684365918,21.457489878542507,60.786542395999085,47.72727272727272,19.920616529714394,
University of Kentucky,65.75,84.75,40.92638174088162,39.872516592556906,27.64178654816601,46.875,40.37227214377407,33.61392474653336,84.75336322869957,80.72837632776933,54.225352112676056,41.08527131782944,32.323232323232325,15.806896492483606,16.801619433198375,51.7617640372812,47.72727272727272,14.544718285422277,
University of La Verne,68.5,80.5,61.06511523830833,92.92031289895777,81.92513368983958,12.5,77.40693196405647,29.10186275537427,50.89686098654708,59.484066767830036,64.7887323943662,22.480620155038736,17.171717171717173,9.868078774200022,4.655870445344128,56.58753612834085,20.454545454545453,82.58040086418114,30.796028566451824
University of Louisville,57.5,80.5,35.89169836652494,45.268572795789,22.906856093862245,37.5,47.175866495507066,26.344707131241584,68.60986547085203,66.46433990895295,63.028169014084504,39.534883720930225,30.303030303030305,13.485135350232031,16.194331983805668,66.66774916377099,44.31818181818181,22.32809955962732,
University of Maine,57.75,76.25,32.53524278362048,49.4556765163297,23.977919613593244,37.5,41.463414634146346,27.560926369847543,71.52466367713005,73.74810318664643,54.225352112676056,37.209302325581376,21.212121212121215,8.046419077461685,11.133603238866394,52.638586691780596,25.0,5.081542551928578,
University of Maryland--Baltimore County,67.75,87.25,56.701722980532544,68.37739761534473,41.52249134948096,40.625,36.64955070603338,33.27944668186315,67.48878923766817,74.05159332321699,50.70422535211267,52.71317829457362,21.212121212121215,5.9396430602519805,5.263157894736841,66.13191309713247,55.68181818181817,57.50966795803408,
University of Maryland--College Park,86.25,95.25,79.50324457373014,67.62276733116545,35.85318424890619,65.625,45.57124518613607,49.88494015797084,81.16591928251121,84.0667678300455,50.70422535211267,72.09302325581393,72.72727272727273,10.531858424164636,10.323886639676113,66.47939466761926,61.36363636363636,46.552365308121985,
University of Massachusetts--Amherst,80.5,90.5,87.91675990154394,91.52966007553874,54.34311316664258,56.25,47.496790757381255,43.627174809742336,88.56502242152469,90.28831562974204,50.70422535211267,59.68992248062014,33.333333333333336,9.942795092217533,12.34817813765182,56.509596336829794,34.09090909090909,30.091359091386423,
University of Massachusetts--Boston,48.5,76.25,34.21347057507271,95.2566096423017,29.411764705882348,34.375,37.676508344030815,38.374127337170776,70.17937219730943,75.26555386949923,50.70422535211267,31.007751937984494,14.141414141414142,7.577660912788422,5.668016194331983,60.64690026954178,45.454545454545446,61.36148067502332,
University of Massachusetts--Dartmouth,53.75,71.5,30.857014992168267,61.88347033992446,34.809807284835045,31.25,53.78690629011552,33.368948916037,74.66367713004486,83.61153262518968,57.74647887323944,27.90697674418604,11.11111111111111,7.097461902666438,1.6194331983805665,42.00630013314714,9.090909090909093,32.00918718887472,
University of Massachusetts--Lowell,64.5,84.5,64.42157082121278,89.83559209064651,48.29545454545456,28.125,30.87291399229783,42.466459990630106,80.71748878923769,75.26555386949923,43.66197183098592,50.3875968992248,24.242424242424242,6.935340836145987,15.789473684210524,56.175104731594836,23.86363636363636,35.247942256334525,
University of Memphis,48.75,77.25,24.144103826359363,32.80196993260756,34.759358288770045,28.125,55.58408215661103,24.368577981413573,50.000000000000014,72.23065250379364,54.225352112676056,28.682170542635646,18.181818181818183,4.462277004466032,7.085020242914979,47.98817913162082,7.954545454545453,48.29719839059171,
University of Miami,83.0,91.75,66.30118594763928,55.1636673331852,28.05984497987143,53.125,62.25930680359435,49.71878731779805,78.9237668161435,82.39757207890744,68.30985915492957,65.89147286821705,50.505050505050505,27.04975533683581,18.825910931174086,76.77718962101775,70.45454545454545,51.63636324575901,15.276084305870043
University of Michigan--Ann Arbor,92.5,96.75,87.40210337883192,66.42621576607874,43.682028480442256,87.5,61.29653401797175,51.06166643700285,83.85650224215247,89.98482549317146,61.267605633802816,83.72093023255812,76.76767676767678,20.436565621886757,29.352226720647767,67.21332770434839,64.77272727272727,36.97474318888873,
